MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
01/11/2018 Celtics at 76ers,21700614,2017-18,2018-01-11, 76ers,1610612755, Celtics,1610612738
01/06/2018 Celtics at Nets,21700579,2017-18,2018-01-06, Nets,1610612751, Celtics,1610612738
01/05/2018 Timberwolves at Celtics,21700570,2017-18,2018-01-05, Celtics,1610612738, Timberwolves,1610612750
01/03/2018 Cavaliers at Celtics,21700559,2017-18,2018-01-03, Celtics,1610612738, Cavaliers,1610612739
12/31/2017 Nets at Celtics,21700539,2017-18,2017-12-31, Celtics,1610612738, Nets,1610612751
12/28/2017 Rockets at Celtics,21700517,2017-18,2017-12-28, Celtics,1610612738, Rockets,1610612745
12/27/2017 Celtics at Hornets,21700506,2017-18,2017-12-27, Hornets,1610612766, Celtics,1610612738
12/25/2017 Wizards at Celtics,21700495,2017-18,2017-12-25, Celtics,1610612738, Wizards,1610612764
12/23/2017 Bulls at Celtics,21700485,2017-18,2017-12-23, Celtics,1610612738, Bulls,1610612741
12/21/2017 Celtics at Knicks,21700468,2017-18,2017-12-21, Knicks,1610612752, Celtics,1610612738
12/20/2017 Heat at Celtics,21700456,2017-18,2017-12-20, Celtics,1610612738, Heat,1610612748
12/18/2017 Celtics at Pacers,21700442,2017-18,2017-12-18, Pacers,1610612754, Celtics,1610612738
12/16/2017 Celtics at Grizzlies,21700436,2017-18,2017-12-16, Grizzlies,1610612763, Celtics,1610612738
12/15/2017 Jazz at Celtics,21700423,2017-18,2017-12-15, Celtics,1610612738, Jazz,1610612762
12/13/2017 Nuggets at Celtics,21700407,2017-18,2017-12-13, Celtics,1610612738, Nuggets,1610612743
12/11/2017 Celtics at Bulls,21700391,2017-18,2017-12-11, Bulls,1610612741, Celtics,1610612738
12/10/2017 Celtics at Pistons,21700386,2017-18,2017-12-10, Pistons,1610612765, Celtics,1610612738
12/08/2017 Celtics at Spurs,21700374,2017-18,2017-12-08, Spurs,1610612759, Celtics,1610612738
12/06/2017 Mavericks at Celtics,21700356,2017-18,2017-12-06, Celtics,1610612738, Mavericks,1610612742
12/04/2017 Bucks at Celtics,21700343,2017-18,2017-12-04, Celtics,1610612738, Bucks,1610612749
12/02/2017 Suns at Celtics,21700326,2017-18,2017-12-02, Celtics,1610612738, Suns,1610612756
11/30/2017 76ers at Celtics,21700314,2017-18,2017-11-30, Celtics,1610612738, 76ers,1610612755
11/27/2017 Pistons at Celtics,21700292,2017-18,2017-11-27, Celtics,1610612738, Pistons,1610612765
11/25/2017 Celtics at Pacers,21700281,2017-18,2017-11-25, Pacers,1610612754, Celtics,1610612738
11/24/2017 Magic at Celtics,21700269,2017-18,2017-11-24, Celtics,1610612738, Magic,1610612753
11/22/2017 Celtics at Heat,21700257,2017-18,2017-11-22, Heat,1610612748, Celtics,1610612738
11/20/2017 Celtics at Mavericks,21700249,2017-18,2017-11-20, Mavericks,1610612742, Celtics,1610612738
11/16/2017 Warriors at Celtics,21700215,2017-18,2017-11-16, Celtics,1610612738, Warriors,1610612744
11/14/2017 Celtics at Nets,21700201,2017-18,2017-11-14, Nets,1610612751, Celtics,1610612738
11/12/2017 Raptors at Celtics,21700188,2017-18,2017-11-12, Celtics,1610612738, Raptors,1610612761
11/10/2017 Hornets at Celtics,21700170,2017-18,2017-11-10, Celtics,1610612738, Hornets,1610612766
11/08/2017 Lakers at Celtics,21700161,2017-18,2017-11-08, Celtics,1610612738, Lakers,1610612747
11/05/2017 Celtics at Magic,21700138,2017-18,2017-11-05, Magic,1610612753, Celtics,1610612738
11/03/2017 Celtics at Thunder,21700129,2017-18,2017-11-03, Thunder,1610612760, Celtics,1610612738
11/01/2017 Kings at Celtics,21700109,2017-18,2017-11-01, Celtics,1610612738, Kings,1610612758
10/30/2017 Spurs at Celtics,21700092,2017-18,2017-10-30, Celtics,1610612738, Spurs,1610612759
10/28/2017 Celtics at Heat,21700078,2017-18,2017-10-28, Heat,1610612748, Celtics,1610612738
10/26/2017 Celtics at Bucks,21700067,2017-18,2017-10-26, Bucks,1610612749, Celtics,1610612738
10/24/2017 Knicks at Celtics,21700051,2017-18,2017-10-24, Celtics,1610612738, Knicks,1610612752
10/20/2017 Celtics at 76ers,21700019,2017-18,2017-10-20, 76ers,1610612755, Celtics,1610612738
10/18/2017 Bucks at Celtics,21700007,2017-18,2017-10-18, Celtics,1610612738, Bucks,1610612749
10/17/2017 Celtics at Cavaliers,21700001,2017-18,2017-10-17, Cavaliers,1610612739, Celtics,1610612738
04/11/2018 Knicks at Cavaliers,21701220,2017-18,2018-04-11, Cavaliers,1610612739, Knicks,1610612752
04/09/2018 Cavaliers at Knicks,21701207,2017-18,2018-04-09, Knicks,1610612752, Cavaliers,1610612739
04/06/2018 Cavaliers at 76ers,21701183,2017-18,2018-04-06, 76ers,1610612755, Cavaliers,1610612739
04/05/2018 Wizards at Cavaliers,21701176,2017-18,2018-04-05, Cavaliers,1610612739, Wizards,1610612764
04/03/2018 Raptors at Cavaliers,21701156,2017-18,2018-04-03, Cavaliers,1610612739, Raptors,1610612761
04/01/2018 Mavericks at Cavaliers,21701149,2017-18,2018-04-01, Cavaliers,1610612739, Mavericks,1610612742
03/30/2018 Pelicans at Cavaliers,21701131,2017-18,2018-03-30, Cavaliers,1610612739, Pelicans,1610612740
03/28/2018 Cavaliers at Hornets,21701116,2017-18,2018-03-28, Hornets,1610612766, Cavaliers,1610612739
03/27/2018 Cavaliers at Heat,21701110,2017-18,2018-03-27, Heat,1610612748, Cavaliers,1610612739
03/25/2018 Cavaliers at Nets,21701094,2017-18,2018-03-25, Nets,1610612751, Cavaliers,1610612739
03/23/2018 Suns at Cavaliers,21701080,2017-18,2018-03-23, Cavaliers,1610612739, Suns,1610612756
03/21/2018 Raptors at Cavaliers,21701065,2017-18,2018-03-21, Cavaliers,1610612739, Raptors,1610612761
